Verb, Anzahl Vorkommen gesamt, Anzahl Vorkommen telisch, Anzahl Vorkommen atelisch, Anzahl Vorkommen unklar
bummeln, 551, 54, 136, 361
eiern, 41, 11, 12, 18
eilen, 3224, 2560, 355, 309
fahren, 70302, 43631, 17944, 8727
flanieren, 451, 44, 195, 212
flattern, 1287, 749, 333, 205
fliegen, 17105, 9616, 3463, 4026
fliehen, 6962, 4355, 2179, 428
fließen, 15993, 10403, 3447, 2143
flitzen, 480, 121, 107, 252
galoppieren, 337, 113, 100, 124
gehen, 428159, 230241, 82429, 115489
gleiten, 3122, 1415, 608, 1099
hasten, 318, 162, 70, 86
hetzen, 1749, 1102, 276, 371
hinken, 390, 64, 309, 17
hoppeln, 195, 56, 49, 90
hopsen, 120, 63, 25, 32
humpeln, 247, 151, 36, 60
huschen, 749, 228, 131, 390
hüpfen, 1474, 707, 373, 394
joggen, 255, 61, 100, 94
klettern, 5848, 3733, 1232, 883
krabbeln, 700, 339, 214, 147
kriechen, 1852, 1031, 448, 373
kullern, 180, 103, 41, 36
latschen, 163, 67, 29, 67
laufen, 55725, 21319, 24244, 10162
marschieren, 3879, 1933, 1118, 828
pilgern, 900, 726, 125, 49
promenieren, 50, 5, 31, 14
purzeln, 265, 176, 53, 36
radeln, 1277, 536, 429, 312
rasen, 2123, 836, 549, 738
reisen, 10738, 6935, 1957, 1846
reiten, 2525, 882, 1221, 422
rennen, 5519, 3456, 855, 1208
robben, 227, 78, 50, 99
rollen, 5216, 2624, 1366, 1226
rudern, 398, 182, 181, 35
rutschen, 4351, 2809, 1095, 447
sausen, 712, 227, 170, 315
schlappen, 19, 14, 2, 3
schleichen, 2089, 1234, 362, 493
schlendern, 1417, 327, 274, 816
schlurfen, 189, 87, 46, 56
schreiten, 2553, 1113, 743, 697
schwanken, 1679, 427, 1128, 124
schweben, 5146, 910, 2552, 1684
schweifen, 1128, 611, 104, 413
schwimmen, 3852, 1081, 2488, 283
segeln, 1564, 563, 605, 396
sinken, 12650, 6878, 3981, 1791
skaten, 32, 6, 19, 7
spazieren, 2463, 480, 1192, 791
springen, 13351, 9590, 1808, 1953
sprinten, 170, 117, 31, 22
stapfen, 550, 168, 100, 282
steigen, 43838, 26590, 12428, 4820
stolpern, 2224, 570, 386, 1268
stolzieren, 246, 73, 84, 89
streichen, 8225, 4323, 2254, 1648
streifen, 1867, 290, 534, 1043
streunen, 125, 11, 30, 84
stromern, 46, 1, 12, 33
strömen, 4265, 3018, 636, 611
stürmen, 2682, 1855, 621, 206
tapsen, 106, 43, 23, 40
tauchen, 14628, 6019, 8392, 217
taumeln, 506, 264, 131, 111
tigern, 69, 23, 8, 38
tippeln, 39, 13, 13, 13
torkeln, 261, 137, 50, 74
traben, 401, 184, 95, 122
trampeln, 284, 149, 80, 55
treiben, 23052, 16020, 4952, 2080
trippeln, 137, 45, 58, 34
trotten, 298, 156, 75, 67
wandeln, 8428, 4604, 3178, 646
wandern, 11264, 6425, 2353, 2486
wanken, 373, 211, 102, 60
watscheln, 98, 45, 20, 33
wieseln, 27, 4, 7, 16
ziehen, 102036, 67260, 20807, 13969
